id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
6648;wire;brazil;1977;pop;0.6837430954186072;0.7342255723918673;0.9690849134377576;0.8778740637345229
6652;cheap trick;oh caroline;1977;pop;0.6674970215531246;0.6303104889367483;0.9247732893652101;0.6386273525259247
6729;wire;start to move;1977;pop;0.6014296545001625;0.7309694126092864;0.9567188788128607;0.8258203859820246
6765;van morrison;kingdom hall;1978;pop;0.6165926567746128;0.800092300592262;0.9258037922506183;0.8768730314700517
6767;cheap trick;on the radio;1978;pop;0.67507852269035;0.7298156552060098;0.7774113767518549;0.8668627088253406
6771;andy gibb;why;1978;pop;0.6393371601862884;0.702202394687588;0.8753091508656224;0.763756385584815
6853;wire;from the nursery;1978;pop;0.6436694465504169;0.7638130400225622;0.7712283594394065;0.6766665785758272
6863;the jam;'a' bomb in wardour street;1978;pop;0.630672587458031;0.6403353588185523;0.9000412201154163;0.7927863212544776
6900;yellow magic orchestra;cue;1978;pop;0.617675728365645;0.72848242442889;0.8691261335531739;0.7427347080309215
6916;nick lowe;i love the sound of breaking glass;1978;pop;0.7043214556482185;0.6413865600082045;0.9216817807089859;0.6206087717654445
6917;andy gibb;an everlasting love;1978;pop;0.6566663056428029;0.7467117914006615;0.9062242374278648;0.6856758689560675
6924;little river band;red-headed wild flower;1978;pop;0.6003465829091303;0.6982539804630412;0.804204451772465;0.7277192240638546
6931;grace jones;pride;1978;pop;0.7281490306509262;0.6246442581339896;0.7732893652102226;0.6316201266746269
6936;michael jackson;you can't win;1978;pop;0.71515217155854;0.7187652231879599;0.740313272877164;0.8568523861806293
6952;chaka khan;i'm every woman;1978;pop;0.6014296545001625;0.7202779273389226;0.7444352844187963;0.8798761282634652
6977;the hollies;we're through;1978;pop;0.6003465829091303;0.6621029151603722;0.8598516075845012;0.6916820625428941
6986;the cars;bye bye love;1978;pop;0.611177298819452;0.7137912468271671;0.9144682605111293;0.7417336757664503
6987;suzi quatro;stumblin' in;1978;pop;0.7573919636087945;0.64374535292157;0.9268342951360262;0.7237150950059701
7043;blondie;i'm gonna love you too;1978;pop;0.6848261670096395;0.7972976437709919;0.792868920032976;0.8598554829740428
7051;chaka khan;i was made to love him;1978;pop;0.6263403010939024;0.6887931697561726;0.7485572959604286;0.7417336757664503
7054;seals and crofts;you're the love;1978;pop;0.6469186613235136;0.6071584237109966;0.8897361912613355;0.6876779334850097
7078;wire;blessed state;1979;pop;0.7411458897433121;0.6832551342204445;0.6929101401483923;0.6646541914021739
7105;john mellencamp;small paradise;1979;pop;0.6999891692840897;0.7507371227854267;0.610469909315746;0.7177089014191435
7127;mental as anything;the nips are getting bigger;1979;pop;0.824542402252789;0.6377458144245314;0.9690849134377576;0.7036944497165476
7130;joe jackson;baby stick around;1979;pop;0.6165926567746128;0.7832218034510166;0.9392003297609234;0.942941160925146
7139;ian hunter;just another night;1979;pop;0.617675728365645;0.7518139630284849;0.9855729596042868;0.8588544507095716
7143;donna summer;on the radio;1979;pop;0.7443951045164087;0.6719739507217393;0.7537098103874691;0.6126005136496755
7145;donna summer;walk away;1979;pop;0.8364561897541429;0.7152526728713176;0.8732481450948062;0.8568523861806293
7149;xtc;reel by reel;1979;pop;0.6328387306400952;0.7939389277747865;0.6568425391591095;0.8758719992055807
7179;john mellencamp;a little night dancin;1979;pop;0.7573919636087945;0.7406609747968105;0.8289365210222588;0.7167078691546722
7189;the tubes;prime time;1979;pop;0.7054045272392505;0.7479937440709689;0.9381698268755153;0.8828792250568785
7205;donna summer;one night in a lifetime;1979;pop;0.9393479909021987;0.7363023357177653;0.8938582028029677;0.8878843863792342
7210;sister sledge;one more time;1979;pop;0.7184013863316365;0.718457554547086;0.9402308326463313;0.8298245150399092
7242;gary numan;we are glass;1979;pop;0.6360879454131919;0.6968951106325154;0.8608821104699094;0.8218162569241401
7256;the b-52's;52 girls;1979;pop;0.6209249431387416;0.7446606671281696;0.8495465787304204;0.7527450306756326
7260;sister sledge;lost in music;1979;pop;0.7541427488356981;0.7216880752762608;0.8505770816158286;0.8418369022135626
7277;the cars;since i held you;1979;pop;0.67507852269035;0.744737584288388;0.6702390766694146;0.7817749663452951
7279;roxy music;dance away;1979;pop;0.8039640420231778;0.7631207855805964;0.9464138499587799;0.6886789657494807
7305;xtc;making plans for nigel;1979;pop;0.617675728365645;0.7593518447298925;0.7722588623248146;0.8938905799660609
7330;sister sledge;thinking of you;1979;pop;0.6490848045055778;0.6868189626438992;0.9144682605111293;0.8468420635359182
7366;xtc;roads girdle the globe;1979;pop;0.630672587458031;0.7551726790246903;0.7361912613355316;0.7837770308742373
7386;madonna;holiday;1979;pop;0.8137116863424673;0.6922800810194087;0.7300082440230832;0.6996903206586632
7426;orchestral manoeuvres in the dark;bunker soldiers;1980;pop;0.6122603704104842;0.7432761582442375;0.9680544105523494;0.7877811599321219
7431;xtc;towers of london;1980;pop;0.6534170908697066;0.8036817680691228;0.8495465787304204;0.8978947090239454
7476;irene cara;fame;1980;pop;0.6913245965558323;0.6895367023049508;0.9659934047815333;0.730722320857268
7478;sister sledge;got to love somebody;1980;pop;0.7335643886060871;0.7719406199523113;0.855729596042869;0.8968936767594742
7522;elvis costello & the attractions;love for tender;1980;pop;0.6187587999566772;0.7217137143296669;0.6826051112943115;0.7707636114361128
7526;japan;my new career;1980;pop;0.689158453373768;0.6781273235392149;0.7557708161582852;0.6646541914021739
7533;yoko ono;kiss kiss kiss;1980;pop;0.8169609011155637;0.7403276671025305;0.8825226710634789;0.7437357402953926
